,date
2,2016-07-01
13,2016-07-02
24,2016-07-03
25,2016-07-04
26,2016-07-05
27,2016-07-06
28,2016-07-07
29,2016-07-08
30,2016-07-09
0,2016-07-10
1,2016-07-11
3,2016-07-12
4,2016-07-13
5,2016-07-14
6,2016-07-15
7,2016-07-16
8,2016-07-17
9,2016-07-18
10,2016-07-19
11,2016-07-20
12,2016-07-21
14,2016-07-22
15,2016-07-23
16,2016-07-24
17,2016-07-25
18,2016-07-26
19,2016-07-27
20,2016-07-28
21,2016-07-29
22,2016-07-30
23,2016-07-31
33,2016-08-01
44,2016-08-02
55,2016-08-03
56,2016-08-04
57,2016-08-05
58,2016-08-06
59,2016-08-07
60,2016-08-08
61,2016-08-09
31,2016-08-10
32,2016-08-11
34,2016-08-12
35,2016-08-13
36,2016-08-14
37,2016-08-15
38,2016-08-16
39,2016-08-17
40,2016-08-18
41,2016-08-19
42,2016-08-20
43,2016-08-21
45,2016-08-22
46,2016-08-23
47,2016-08-24
48,2016-08-25
49,2016-08-26
50,2016-08-27
51,2016-08-28
52,2016-08-29
53,2016-08-30
54,2016-08-31
64,2016-09-01
75,2016-09-02
85,2016-09-03
86,2016-09-04
87,2016-09-05
88,2016-09-06
89,2016-09-07
90,2016-09-08
91,2016-09-09
62,2016-09-10
63,2016-09-11
65,2016-09-12
66,2016-09-13
67,2016-09-14
68,2016-09-15
69,2016-09-16
70,2016-09-17
71,2016-09-18
72,2016-09-19
73,2016-09-20
74,2016-09-21
76,2016-09-22
77,2016-09-23
78,2016-09-24
79,2016-09-25
80,2016-09-26
81,2016-09-27
82,2016-09-28
83,2016-09-29
84,2016-09-30
94,2016-10-01
105,2016-10-02
116,2016-10-03
117,2016-10-04
118,2016-10-05
119,2016-10-06
120,2016-10-07
121,2016-10-08
122,2016-10-09
92,2016-10-10
93,2016-10-11
95,2016-10-12
96,2016-10-13
97,2016-10-14
98,2016-10-15
99,2016-10-16
100,2016-10-17
101,2016-10-18
102,2016-10-19
103,2016-10-20
104,2016-10-21
106,2016-10-22
107,2016-10-23
108,2016-10-24
109,2016-10-25
110,2016-10-26
111,2016-10-27
112,2016-10-28
113,2016-10-29
114,2016-10-30
115,2016-10-31
125,2016-11-01
136,2016-11-02
146,2016-11-03
147,2016-11-04
148,2016-11-05
149,2016-11-06
150,2016-11-07
151,2016-11-08
152,2016-11-09
123,2016-11-10
124,2016-11-11
126,2016-11-12
127,2016-11-13
128,2016-11-14
129,2016-11-15
130,2016-11-16
131,2016-11-17
132,2016-11-18
133,2016-11-19
134,2016-11-20
135,2016-11-21
137,2016-11-22
138,2016-11-23
139,2016-11-24
140,2016-11-25
141,2016-11-26
142,2016-11-27
143,2016-11-28
144,2016-11-29
145,2016-11-30
155,2016-12-01
166,2016-12-02
174,2016-12-03
175,2016-12-04
176,2016-12-05
177,2016-12-06
178,2016-12-07
179,2016-12-08
180,2016-12-09
153,2016-12-10
154,2016-12-11
156,2016-12-12
157,2016-12-13
158,2016-12-14
159,2016-12-15
160,2016-12-16
161,2016-12-17
162,2016-12-18
163,2016-12-19
164,2016-12-20
165,2016-12-21
167,2016-12-22
168,2016-12-23
169,2016-12-24
170,2016-12-25
171,2016-12-26
172,2016-12-27
173,2016-12-28
202,2017-01-04
203,2017-01-05
204,2017-01-06
205,2017-01-07
206,2017-01-09
181,2017-01-10
182,2017-01-11
183,2017-01-12
184,2017-01-13
185,2017-01-14
186,2017-01-15
187,2017-01-16
188,2017-01-17
189,2017-01-18
190,2017-01-19
191,2017-01-20
192,2017-01-22
193,2017-01-23
194,2017-01-24
195,2017-01-25
196,2017-01-26
197,2017-01-27
198,2017-01-28
199,2017-01-29
200,2017-01-30
201,2017-01-31
209,2017-02-01
220,2017-02-02
228,2017-02-03
229,2017-02-04
230,2017-02-05
231,2017-02-06
232,2017-02-07
233,2017-02-08
234,2017-02-09
207,2017-02-10
208,2017-02-11
210,2017-02-12
211,2017-02-13
212,2017-02-14
213,2017-02-15
214,2017-02-16
215,2017-02-17
216,2017-02-18
217,2017-02-19
218,2017-02-20
219,2017-02-21
221,2017-02-22
222,2017-02-23
223,2017-02-24
